"ID","NAME","COUNTRY","SUBREGION","LOCATION","YEAR","ADJ_TOTAL_DAMAGE"
"2005-0567-CRI","Stan","Costa Rica","Latin America and the Caribbean","Quepos (Aguirre district, Puntarenas province), Guanacaste province.",2005,31.205
"2005-0567-GTM","Stan","Guatemala","Latin America and the Caribbean","Escuintla, Jutiapa, Santa Rosa, Suchitepéquez, San Marcos, Quezaltenango, Huehuetenango, Solola, Totonicapan, Retalhuleu, Quiché, Sacatepequez, Chimaltenango provinces",2005,1541.984
"2005-0567-HND","Stan","Honduras","Latin America and the Caribbean","San Pedro Sula, Potrerillos, San Manuel districts (Cortes province)",2005,156.024
"2005-0567-HTI","Stan","Haiti","Latin America and the Caribbean","Dessalines, Saint-Marc districts (Artibonite province)",2005,NA
"2005-0567-MEX","Stan","Mexico","Latin America and the Caribbean","Chiapas, Oaxaca, Veracruz, Puebla, Hidalgo, Tabasco provinces",2005,3900.598
"2005-0567-NIC","Stan","Nicaragua","Latin America and the Caribbean","San Sebastian De Yali district (Jinotega province), Leon, Chinandega, Granada provinces",2005,NA
"2005-0567-SLV","Stan","El Salvador","Latin America and the Caribbean","San Salvador, San Marcos districts (San Salvador province), La Libertad, Santa Tecla districts (La Libertad province), Lourdes city (Colon district, La Libertad province), Chaparral village (Chilanga district, Morazan province), Ateos city (Sacacoyo district, La Libertad province), El Chaparral area (Ciudad Barrios district, San Miguel province)",2005,554.977
"2005-0585-BHS","Hurricane ""Wilma""","Bahamas","Latin America and the Caribbean",NA,2005,NA
"2005-0585-BLZ","Hurricane ""Wilma""","Belize","Latin America and the Caribbean","Belize, Cayo, Corozal, Orange Walk, Stann Creek, Toledo provinces",2005,NA
"2005-0585-CUB","Hurricane ""Wilma""","Cuba","Latin America and the Caribbean","Santiago de Cuba, Granma, Guantanamo, Matanzas, Sancti Spiritus, Villa Clara, Cienfuegos, Havana, Ciudad Havana, Pinar del Rio, Isla De La Juventud provinces",2005,1092.167
"2005-0585-HND","Hurricane ""Wilma""","Honduras","Latin America and the Caribbean","Omoa district (Cortes province)",2005,NA
"2005-0585-HTI","Hurricane ""Wilma""","Haiti","Latin America and the Caribbean","Sud, Sud Est provinces",2005,0.78
